"","Gene.ID","Uniq_Name","KH2013","X","KYname","KHname","Description","name","ENSMUSG","ENSMUST","annotation_1","annotation_2","loc","SNR","variance","denoised_SNR","denoised_variance","gene_network_leiden","gene_network_n","leiden","gene_clusters_leiden","scores","logfoldchanges","pvals","pvals_adj"
"KY.Chr1.552","KY.Chr1.552","Tanc1-KY.Chr1.552","KH.C1.787","Tanc1-KY.Chr1.552","TANC2","TANC1/2","2:59612042:59845717:1 ENSMUSG00000035168.16 ENSMUST00000112568.7 protein_coding protein_coding Tanc1 tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:MGI Symbol;Acc:MGI:1914110]","Tanc1","ENSMUSG00000035168.16","ENSMUST00000112568.7","protein_coding","protein_coding","2:59612042:59845717:1",0.59468559626846,1.1011751,0.31473237268223,0.79340124,0,16,0,1,4.7670007,0.89548916,2.18996244448967e-06,3.49325716755181e-06
"KY.Chr1.553","KY.Chr1.553","Kdm5c-KY.Chr1.553","KH.C1.677","Kdm5c-KY.Chr1.553","KDM5A","KDM5B","X:152233272:152273772:1 ENSMUSG00000025332.14 ENSMUST00000082177.12 protein_coding protein_coding Kdm5c lysine (K)-specific demethylase 5C [Source:MGI Symbol;Acc:MGI:99781]","Kdm5c","ENSMUSG00000025332.14","ENSMUST00000082177.12","protein_coding","protein_coding","X:152233272:152273772:1",0.508687877560412,1.1058898,0.40711838614321,1.2325351,4,29,4,5,12.80693,1.4812526,1.15753178300525e-34,5.84846868112974e-34
"KY.Chr1.554","KY.Chr1.554","Dis3-KY.Chr1.554","KH.C1.1081","Dis3-KY.Chr1.554","DIS3","DIS3","14:99075206:99099770:-1 ENSMUSG00000033166.11 ENSMUST00000042471.10 protein_coding protein_coding Dis3 DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:MGI Symbol;Acc:MGI:1919912]","Dis3","ENSMUSG00000033166.11","ENSMUST00000042471.10","protein_coding","protein_coding","14:99075206:99099770:-1",0.423824180773015,0.57969373,0.32928092793771,0.7734196,3,17,3,3,12.446087,2.0439882,3.45812849513212e-33,1.65807627259267e-32
"KY.Chr1.555","KY.Chr1.555","Seh1l-KY.Chr1.555","KH.C1.63","Seh1l-KY.Chr1.555","SEH1L","SEH1L","18:67774876:67795487:1 ENSMUSG00000079614.4 ENSMUST00000025421.8 protein_coding protein_coding Seh1l SEH1-like (S. cerevisiae [Source:MGI Symbol;Acc:MGI:1919374]","Seh1l","ENSMUSG00000079614.4","ENSMUST00000025421.8","protein_coding","protein_coding","18:67774876:67795487:1",0.299434194093317,0.3921584,0.230870609802532,0.60589427,5,6,1,9,7.5813684,1.4365078,8.12156349480624e-14,1.90349144409521e-13
"KY.Chr1.559","KY.Chr1.559","Sox2-KY.Chr1.559","KH.C1.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"KY.Chr1.561","KY.Chr1.561","Mpdu1-KY.Chr1.561","KH.C1.89","Mpdu1-KY.Chr1.561","MPDU1","MPDU1","11:69656697:69662642:-1 ENSMUSG00000018761.14 ENSMUST00000018905.11 protein_coding protein_coding Mpdu1 mannose-P-dolichol utilization defect 1 [Source:MGI Symbol;Acc:MGI:1346040]","Mpdu1","ENSMUSG00000018761.14","ENSMUST00000018905.11","protein_coding","protein_coding","11:69656697:69662642:-1",0.852481091444881,1.5238504,0.570880044480543,1.2314781,0,22,6,4,3.706119,0.33065912,0.00022642484875038,0.000318812114800958
"KY.Chr1.562","KY.Chr1.562","Picalm-KY.Chr1.562","KH.C1.633","Picalm-KY.Chr1.562","PICALM","PICALM","7:90130230:90208932:1 ENSMUSG00000039361.11 ENSMUST00000209068.1 protein_coding protein_coding Picalm phosphatidylinositol binding clathrin assembly protein [Source:MGI Symbol;Acc:MGI:2385902]","Picalm","ENSMUSG00000039361.11","ENSMUST00000209068.1","protein_coding","protein_coding","7:90130230:90208932:1",0.68354824036077,1.4485545,0.483214329795657,1.1798146,6,25,7,4,1.3261554,0.12831804,0.185190575743479,0.208473279634115
"KY.Chr1.563","KY.Chr1.563","Efnb3-KY.Chr1.563","KH.C1.4","Efnb3-KY.Chr1.563","EFNB3","EFNB1/2/3","11:69554092:69560205:-1 ENSMUSG00000003934.5 ENSMUST00000004036.5 protein_coding protein_coding Efnb3 ephrin B3 [Source:MGI Symbol;Acc:MGI:109196]","Efnb3","ENSMUSG00000003934.5","ENSMUST00000004036.5","protein_coding","protein_coding","11:69554092:69560205:-1",0.637976437574042,1.2313784,0.244020870342236,0.5999392,6,9,7,8,-7.4712176,-1.0793878,2.90644853133483e-13,6.60372894487556e-13
"KY.Chr1.564","KY.Chr1.564","B4galt1-KY.Chr1.564","KH.C1.898","B4galt1-KY.Chr1.564","B4GALT2","KH2013:KH.C1.898_B4GALT1/2","4:40804602:40854005:-1 ENSMUSG00000028413.13 ENSMUST00000030121.12 protein_coding protein_coding B4galt1 UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:95705]","B4galt1","ENSMUSG00000028413.13","ENSMUST00000030121.12","protein_coding","protein_coding","4:40804602:40854005:-1",0.354608270510002,0.7648842,0.27421421304046,0.75982624,5,33,1,9,8.571309,1.3136588,3.95664949476568e-17,1.07007385321528e-16
"KY.Chr1.565","KY.Chr1.565","Ms4a4b-KY.Chr1.565","KH.C1.628","Ms4a4b-KY.Chr1.565","MS4A18","KH2013:KH.C1.628_MS4A17A.1/11/14/2/4/5/6/7/8/9","19:11443573:11467055:1 ENSMUSG00000056290.16 ENSMUST00000035258.9 protein_coding protein_coding Ms4a4b membrane-spanning 4-domains, subfamily A, member 4B [Source:MGI Symbol;Acc:MGI:1913083]","Ms4a4b","ENSMUSG00000056290.16","ENSMUST00000035258.9","protein_coding","protein_coding","19:11443573:11467055:1",0.376706958893695,0.75126624,0.197480108867749,0.59347826,6,19,1,9,1.3732727,0.23578763,0.170064605810299,0.192292967150649
"KY.Chr1.566","KY.Chr1.566","Ms4a4c-KY.Chr1.566","KH.C1.884","Ms4a4c-KY.Chr1.566","MS4A18","KH2013:KH.C1.884","19:11407661:11427246:1 ENSMUSG00000024675.19 ENSMUST00000072729.9 protein_coding protein_coding Ms4a4c membrane-spanning 4-domains, subfamily A, member 4C [Source:MGI Symbol;Acc:MGI:1927656]","Ms4a4c","ENSMUSG00000024675.19","ENSMUST00000072729.9","protein_coding","protein_coding","19:11407661:11427246:1",0.471489841861635,0.86324847,0.318843975602678,0.83784175,1,17,2,0,4.592075,0.60498184,5.07468898864933e-06,7.9246575897246e-06
"KY.Chr1.567","KY.Chr1.567","Ms4a4c-KY.Chr1.567","KH.C1.484","Ms4a4c-KY.Chr1.567","SCN5A","KH2013:KH.C1.484_MS4A15/2","19:11407661:11427246:1 ENSMUSG00000024675.19 ENSMUST00000072729.9 protein_coding protein_coding Ms4a4c membrane-spanning 4-domains, subfamily A, member 4C [Source:MGI Symbol;Acc:MGI:1927656]","Ms4a4c","ENSMUSG00000024675.19","ENSMUST00000072729.9","protein_coding","protein_coding","19:11407661:11427246:1",0.712133099356112,1.4038651,0.309040803209176,0.823349,3,12,2,0,3.9137392,0.60164297,9.90106897610058e-05,0.00014290472966035
"KY.Chr1.568","KY.Chr1.568","Ms4a4d-KY.Chr1.568","KH.C1.574","Ms4a4d-KY.Chr1.568","MS4A18","KH2013:KH.C1.574_MS4A15/2","19:11536801:11558467:1 ENSMUSG00000024678.6 ENSMUST00000025581.6 protein_coding protein_coding Ms4a4d membrane-spanning 4-domains, subfamily A, member 4D [Source:MGI Symbol;Acc:MGI:1913857]","Ms4a4d","ENSMUSG00000024678.6","ENSMUST00000025581.6","protein_coding","protein_coding","19:11536801:11558467:1",1.33063809949024,2.5338604,0.902323836230439,1.7505658,5,12,1,9,12.1574135,0.8552798,2.94326338694643e-31,1.33896372778448e-30
"KY.Chr1.574","KY.Chr1.574","Tnfaip8-KY.Chr1.574","KH.C1.187","Tnfaip8-KY.Chr1.574","TNFAIP8","TNFAIP8L1/2/3","18:49979427:50091001:1 ENSMUSG00000062210.13 ENSMUST00000148989.2 protein_coding protein_coding Tnfaip8 tumor necrosis factor, alpha-induced protein 8 [Source:MGI Symbol;Acc:MGI:2147191]","Tnfaip8","ENSMUSG00000062210.13","ENSMUST00000148989.2","protein_coding","protein_coding","18:49979427:50091001:1",0.386890698890976,0.50347304,0.272309382291549,0.49463964,0,29,0,1,2.5882397,0.55048174,0.00980728355480666,0.0123174900999454
"KY.Chr1.575","KY.Chr1.575","Fbxl20-KY.Chr1.575","KH.C1.546","Fbxl20-KY.Chr1.575","FBXL20","FBXL2/20","11:98082556:98149612:-1 ENSMUSG00000020883.18 ENSMUST00000103143.9 protein_coding protein_coding Fbxl20 F-box and leucine-rich repeat protein 20 [Source:MGI Symbol;Acc:MGI:1919444]","Fbxl20","ENSMUSG00000020883.18","ENSMUST00000103143.9","protein_coding","protein_coding","11:98082556:98149612:-1",0.413468621943258,0.8246707,0.336789310519589,0.909679,2,17,4,2,5.133148,0.6502475,3.53373393931555e-07,5.8847575787135e-07
"KY.Chr1.577","KY.Chr1.577","Chmp5-KY.Chr1.577","KH.C1.1012","Chmp5-KY.Chr1.577","TFF2","CHMP5","4:40948407:40965303:1 ENSMUSG00000028419.5 ENSMUST00000030128.5 protein_coding protein_coding Chmp5 charged multivesicular body protein 5 [Source:MGI Symbol;Acc:MGI:1924209]","Chmp5","ENSMUSG00000028419.5","ENSMUST00000030128.5","protein_coding","protein_coding","4:40948407:40965303:1",0.657608375821457,1.404892,0.35667597330426,0.9508964,5,14,1,9,11.631016,1.4814861,2.09597355621545e-29,8.99925620906581e-29
"KY.Chr1.583","KY.Chr1.583","Hpgds-KY.Chr1.583","KH.C1.481","Hpgds-KY.Chr1.583","HPGDS","KH2013:KH.C1.481_GST-12/13/14/15/16/17/18/19/2/21/22/24/27/28/29/3/30/31/32/33/34/35/37/38/39/4/5/6/7/8/9","6:65117293:65144908:-1 ENSMUSG00000029919.5 ENSMUST00000031982.4 protein_coding protein_coding Hpgds hematopoietic prostaglandin D synthase [Source:MGI Symbol;Acc:MGI:1859384]","Hpgds","ENSMUSG00000029919.5","ENSMUST00000031982.4","protein_coding","protein_coding","6:65117293:65144908:-1",0.605965809846473,1.5688151,0.223911635443155,0.5788998,0,17,0,1,0.17252187,0.033804387,0.863071005947953,0.896860998299798
"KY.Chr1.584","KY.Chr1.584","Rtl1-KY.Chr1.584","KH.C11.717","Rtl1-KY.Chr1.584","RTL1","KH2013:KH.C11.717","CHR_MG4180_PATCH:109589701:109600838:-1 ENSMUSG00000098639.3 ENSMUST00000184423.3 protein_coding protein_coding Rtl1 retrotransposon Gaglike 1 [Source:MGI Symbol;Acc:MGI:2656842]","Rtl1","ENSMUSG00000098639.3","ENSMUST00000184423.3","protein_coding","protein_coding","CHR_MG4180_PATCH:109589701:109600838:-1",0.230198727720366,0.15048169,0.173965708980866,0.2531266,0,13,0,1,-0.9115834,-0.26297906,0.362289388579621,0.395000767089677
"KY.Chr1.585","KY.Chr1.585","Mblac1-KY.Chr1.585","KH.C1.1014","Mblac1-KY.Chr1.585","MBLAC1","KH2013:KH.C1.1014","5:138194314:138195621:1 ENSMUSG00000049285.4 ENSMUST00000057773.4 protein_coding protein_coding Mblac1 metallo-beta-lactamase domain containing 1 [Source:MGI Symbol;Acc:MGI:2679717]","Mblac1","ENSMUSG00000049285.4","ENSMUST00000057773.4","protein_coding","protein_coding","5:138194314:138195621:1",0.45390065944314,0.5613569,0.331547842806307,0.82963985,1,11,6,0,7.0577383,1.1139451,3.24271527810826e-12,7.01487097076873e-12
"KY.Chr1.586","KY.Chr1.586","Dlg2-KY.Chr1.586","KH.C1.637","Dlg2-KY.Chr1.586","DLG2","DLG1/2/3/4","7:92062394:92445325:1 ENSMUSG00000052572.19 ENSMUST00000098308.3 protein_coding protein_coding Dlg2 discs large MAGUK scaffold protein 2 [Source:MGI Symbol;Acc:MGI:1344351]","Dlg2","ENSMUSG00000052572.19","ENSMUST00000098308.3","protein_coding","protein_coding","7:92062394:92445325:1",0.772850241015125,1.6665568,0.545592236237017,1.2950109,0,11,0,1,8.716697,1.0481732,1.68009033026721e-17,4.61671880670064e-17
"KY.Chr1.587","KY.Chr1.587","Cfap100-KY.Chr1.587","KH.C1.867","Cfap100-KY.Chr1.587","CFAP100","KH2013:KH.C1.867_CCDC37","6:90403738:90428413:-1 ENSMUSG00000048794.14 ENSMUST00000165673.4 protein_coding protein_coding Cfap100 cilia and flagella associated protein 100 [Source:MGI Symbol;Acc:MGI:2141635]","Cfap100","ENSMUSG00000048794.14","ENSMUST00000165673.4","protein_coding","protein_coding","6:90403738:90428413:-1",0.350896812065079,0.5719915,0.2272515169961,0.5968884,3,11,2,0,3.406918,0.7352497,0.00069113475112771,0.000941514179381608
"KY.Chr1.590","KY.Chr1.590","Mrps25-KY.Chr1.590","KH.C1.220","Mrps25-KY.Chr1.590","MRPS25","MRPS25","6:92169525:92184033:-1 ENSMUSG00000014551.8 ENSMUST00000140438.1 protein_coding protein_coding Mrps25 mitochondrial ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1928140]","Mrps25","ENSMUSG00000014551.8","ENSMUST00000140438.1","protein_coding","protein_coding","6:92169525:92184033:-1",0.549651095457725,0.79743475,0.437333191945854,1.0860461,5,32,1,10,12.181802,1.4235127,1.06866964329875e-31,4.91636147100015e-31
"KY.Chr1.591","KY.Chr1.591","Atp5c1-KY.Chr1.591","KH.C1.670","Atp5c1-KY.Chr1.591","ATP5F1C","ATP5C1","2:10056030:10080510:-1 ENSMUSG00000025781.14 ENSMUST00000114897.8 protein_coding protein_coding Atp5c1 ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:MGI Symbol;Acc:MGI:1261437]","Atp5c1","ENSMUSG00000025781.14","ENSMUST00000114897.8","protein_coding","protein_coding","2:10056030:10080510:-1",0.439996025055102,0.6686755,0.31870687626557,0.7775547,0,26,2,13,3.2168188,0.49099544,0.00134493856138141,0.00179537438590677
"KY.Chr1.597","KY.Chr1.597","Cacna2d3-KY.Chr1.597","KH.C1.583","Cacna2d3-KY.Chr1.597","TENT2","CACNA2D3/4","14:28904943:29721864:-1 ENSMUSG00000021991.9 ENSMUST00000022567.8 protein_coding protein_coding Cacna2d3 calcium channel, voltage-dependent, alpha2/delta subunit 3 [Source:MGI Symbol;Acc:MGI:1338890]","Cacna2d3","ENSMUSG00000021991.9","ENSMUST00000022567.8","protein_coding","protein_coding","14:28904943:29721864:-1",0.487970127093353,0.42847335,0.373628011969284,0.77128947,5,10,1,9,14.720727,2.6302423,2.02128589635779e-44,1.321920976218e-43
"KY.Chr1.598","KY.Chr1.598","Cpn2-KY.Chr1.598","KH.C1.1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6489816,3.2701292,5.41793844430353e-11,1.10123438046199e-10
"KY.Chr1.6","KY.Chr1.6","Ttc14-KY.Chr1.6","KH.L60.10","Ttc14-KY.Chr1.6","FAF2","KH2013:KH.L60.10_FAF/2","3:33800191:33808044:1 ENSMUSG00000027677.17 ENSMUST00000200271.4 protein_coding protein_coding Ttc14 tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370]","Ttc14","ENSMUSG00000027677.17","ENSMUST00000200271.4","protein_coding","protein_coding","3:33800191:33808044:1",0.482666378406718,0.7943653,0.344871481329869,0.8340257,1,12,2,0,5.5527916,0.7188932,3.70995449703665e-08,6.52514587204703e-08
"KY.Chr1.600","KY.Chr1.600","Ruvbl1-KY.Chr1.600","KH.C1.1275","Ruvbl1-KY.Chr1.600","RUVBL1","RUVBL1","6:88465409:88497572:1 ENSMUSG00000030079.15 ENSMUST00000032165.15 protein_coding protein_coding Ruvbl1 RuvB-like protein 1 [Source:MGI Symbol;Acc:MGI:1928760]","Ruvbl1","ENSMUSG00000030079.15","ENSMUST00000032165.15","protein_coding","protein_coding","6:88465409:88497572:1",0.968291346217259,1.2481846,0.797670543456786,1.5097982,5,6,1,10,28.484152,2.4268506,1.68254181339241e-127,8.28601164125477e-126
"KY.Chr1.601","KY.Chr1.601","P3h1-KY.Chr1.601","KH.C1.1224","P3h1-KY.Chr1.601","P3H2","LEPREL1/2","4:119233832:119248973:1 ENSMUSG00000028641.16 ENSMUST00000081606.6 protein_coding protein_coding P3h1 prolyl 3-hydroxylase 1 [Source:MGI Symbol;Acc:MGI:1888921]","P3h1","ENSMUSG00000028641.16","ENSMUST00000081606.6","protein_coding","protein_coding","4:119233832:119248973:1",0.649040206093745,1.0802926,0.414316966694222,1.0572845,4,6,3,7,9.933644,1.1059269,4.32914790798644e-22,1.41960626344922e-21
"KY.Chr1.603","KY.Chr1.603","Ephb2-KY.Chr1.603","KH.C1.146","Ephb2-KY.Chr1.603","EPHA7","KH2013:KH.C1.146_EPHA10/2/3/4/5/6/7/8","4:136653608:136835956:-1 ENSMUSG00000028664.14 ENSMUST00000059287.13 protein_coding protein_coding Ephb2 Eph receptor B2 [Source:MGI Symbol;Acc:MGI:99611]","Ephb2","ENSMUSG00000028664.14","ENSMUST00000059287.13","protein_coding","protein_coding","4:136653608:136835956:-1",0.503232063713074,0.81045336,0.195763284275937,0.36483636,5,8,1,9,8.513131,2.7404137,6.47225170342445e-17,1.73307100149017e-16
"KY.Chr1.604","KY.Chr1.604","Eme1-KY.Chr1.604","KH.C1.1075","Eme1-KY.Chr1.604","EME1","EME1/2","11:94644996:94653964:-1 ENSMUSG00000039055.4 ENSMUST00000039949.4 protein_coding protein_coding Eme1 essential meiotic structure-specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:3576783]","Eme1","ENSMUSG00000039055.4","ENSMUST00000039949.4","protein_coding","protein_coding","11:94644996:94653964:-1",0.245523145334713,0.13502273,0.162057100583279,0.24084826,1,22,2,0,3.4772704,1.0953245,0.000528534834967275,0.000726302282040255
"KY.Chr1.609","KY.Chr1.609","Coq4-KY.Chr1.609","KH.C1.411","Coq4-KY.Chr1.609","COQ4","KH2013:KH.C1.411","2:29788259:29797743:1 ENSMUSG00000026798.10 ENSMUST00000028137.9 protein_coding protein_coding Coq4 coenzyme Q4 [Source:MGI Symbol;Acc:MGI:1098826]","Coq4","ENSMUSG00000026798.10","ENSMUST00000028137.9","protein_coding","protein_coding","2:29788259:29797743:1",0.328315225648579,0.73374885,0.241105384400796,0.6868983,4,16,3,3,8.21956,1.6133384,6.51671110797743e-16,1.67898245533298e-15
"KY.Chr1.61","KY.Chr1.61","Imp4-KY.Chr1.61","KH.C1.1216","Imp4-KY.Chr1.61","IMP4","IMP4","1:34439851:34449356:1 ENSMUSG00000026127.13 ENSMUST00000027303.13 protein_coding protein_coding Imp4 IMP4, U3 small nucleolar ribonucleoprotein [Source:MGI Symbol;Acc:MGI:106572]","Imp4","ENSMUSG00000026127.13","ENSMUST00000027303.13","protein_coding","protein_coding","1:34439851:34449356:1",0.72685265604215,1.0314566,0.567485406728678,1.4197669,4,27,1,5,21.100643,2.3255367,3.96053899659451e-82,6.46255614713774e-81
"KY.Chr1.610","KY.Chr1.610","Mcm7-KY.Chr1.610","KH.C1.124","Mcm7-KY.Chr1.610","MCM7","MCM7","5:138164583:138172422:-1 ENSMUSG00000029730.16 ENSMUST00000000505.15 protein_coding protein_coding Mcm7 minichromosome maintenance complex component 7 [Source:MGI Symbol;Acc:MGI:1298398]","Mcm7","ENSMUSG00000029730.16","ENSMUST00000000505.15","protein_coding","protein_coding","5:138164583:138172422:-1",0.786751812156613,1.1995575,0.642703471865349,1.220697,3,18,3,3,8.17421,0.77718765,1.23154225269443e-15,3.12569323681372e-15
"KY.Chr1.611","KY.Chr1.611","Ssu72-KY.Chr1.611","KH.C1.178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6649469,0.6202779,0.0962505951755953,0.11134125025619
"KY.Chr1.613","KY.Chr1.613","KY2019:KY.Chr1.613","KH.C1.1270","KY2019:KY.Chr1.613","PTPN13","KH2013:KH.C1.1270","nan","nan","nan","nan","nan","nan","nan",0.234709214078771,0.25854895,0.185054027797897,0.37510934,4,13,1,5,8.134935,2.2233183,1.21912434800595e-15,3.09706076598778e-15
"KY.Chr1.615","KY.Chr1.615","Sult6b2-KY.Chr1.615","KH.C1.1121","Sult6b2-KY.Chr1.615","SULT1C2","KH2013:KH.C1.1121_SULT6B1","6:142785781:142804466:-1 ENSMUSG00000048473.15 ENSMUST00000111768.2 protein_coding protein_coding Sult6b2 sulfotransferase family 6B, member 2 [Source:MGI Symbol;Acc:MGI:2685612]","Sult6b2","ENSMUSG00000048473.15","ENSMUST00000111768.2","protein_coding","protein_coding","6:142785781:142804466:-1",0.398519334469909,1.8071985,0.299700285544495,1.9443998,0,21,0,1,0.6763092,0.1074789,0.499037523656857,0.535736277858806
"KY.Chr1.616","KY.Chr1.616","Rnf17-KY.Chr1.616","KH.C1.147","Rnf17-KY.Chr1.616","RNF17","TDRD1/6","14:56402581:56525032:1 ENSMUSG00000000365.9 ENSMUST00000095793.2 protein_coding protein_coding Rnf17 ring finger protein 17 [Source:MGI Symbol;Acc:MGI:1353419]","Rnf17","ENSMUSG00000000365.9","ENSMUST00000095793.2","protein_coding","protein_coding","14:56402581:56525032:1",0.208396363040564,0.1541055,0.123652066494469,0.22382386,0,19,0,4,0.48262274,0.18708612,0.629518572679144,0.666448372397307
"KY.Chr1.620","KY.Chr1.620","Calu-KY.Chr1.620","KH.C1.252","Calu-KY.Chr1.620","CALU","CALU-1","6:29348106:29376675:1 ENSMUSG00000029767.16 ENSMUST00000031779.16 protein_coding protein_coding Calu calumenin [Source:MGI Symbol;Acc:MGI:1097158]","Calu","ENSMUSG00000029767.16","ENSMUST00000031779.16","protein_coding","protein_coding","6:29348106:29376675:1",1.97121198456623,2.3448706,1.18916174138857,1.7500921,1,30,6,6,12.669092,0.889007,3.11636092618272e-32,1.45412389106985e-31
"KY.Chr1.624","KY.Chr1.624","Rassf9-KY.Chr1.624","KH.C1.142","Rassf9-KY.Chr1.624","RASSF9","RASSF10A","10:102540248:102546197:1 ENSMUSG00000044921.5 ENSMUST00000055355.5 protein_coding protein_coding Rassf9 Ras association (RalGDS/AF-6) domain family (N-terminal) member 9 [Source:MGI Symbol;Acc:MGI:2384307]","Rassf9","ENSMUSG00000044921.5","ENSMUST00000055355.5","protein_coding","protein_coding","10:102540248:102546197:1",0.50854448164502,0.97706115,0.385640762877051,1.0315707,6,3,1,9,0.13231386,0.016077466,0.89477096644891,0.927797139868067
"KY.Chr1.628","KY.Chr1.628","Mybpc1-KY.Chr1.628","KH.C1.113","Mybpc1-KY.Chr1.628","MYBPC3","MYBPC1/2/3","10:88518339:88605025:-1 ENSMUSG00000020061.18 ENSMUST00000119185.7 protein_coding protein_coding Mybpc1 myosin binding protein C, slow-type [Source:MGI Symbol;Acc:MGI:1336213]","Mybpc1","ENSMUSG00000020061.18","ENSMUST00000119185.7","protein_coding","protein_coding","10:88518339:88605025:-1",1.34989612786217,0.5338718,0.212968707229568,0.5780914,6,56,7,8,-37.05777,-4.9288487,5.17945869975517e-132,2.80411091857606e-130
"KY.Chr1.63","KY.Chr1.63","Eif4a2-KY.Chr1.63","KH.C1.287","Eif4a2-KY.Chr1.63","EIF4A2","EIF4A1/2","16:23107758:23113184:1 ENSMUSG00000022884.16 ENSMUST00000187168.6 protein_coding protein_coding Eif4a2 eukaryotic translation initiation factor 4A2 [Source:MGI Symbol;Acc:MGI:106906]","Eif4a2","ENSMUSG00000022884.16","ENSMUST00000187168.6","protein_coding","protein_coding","16:23107758:23113184:1",1.7395698415599,1.9194367,1.73849502003378,1.4197149,4,7,1,10,28.8761,1.7053306,5.40925819395977e-106,1.54079044374986e-104
"KY.Chr1.632","KY.Chr1.632","Duox2-KY.Chr1.632","KH.C1.5","Duox2-KY.Chr1.632","DUOX1","DUOX/1/2","2:122279247:122298449:-1 ENSMUSG00000068452.8 ENSMUST00000237546.1 protein_coding protein_coding Duox2 dual oxidase 2 [Source:MGI Symbol;Acc:MGI:3036280]","Duox2","ENSMUSG00000068452.8","ENSMUST00000237546.1","protein_coding","protein_coding","2:122279247:122298449:-1",0.23883708064715,0.31979388,0.173029959981408,0.35364306,0,10,0,4,0.949594,0.22290689,0.342590809510556,0.374622775247298
"KY.Chr1.633","KY.Chr1.633","Spo11-KY.Chr1.633","KH.C1.272","Spo11-KY.Chr1.633","SPO11","SPO11","2:172979849:172993576:1 ENSMUSG00000005883.15 ENSMUST00000050442.14 protein_coding protein_coding Spo11 SPO11 meiotic protein covalently bound to DSB [Source:MGI Symbol;Acc:MGI:1349669]","Spo11","ENSMUSG00000005883.15","ENSMUST00000050442.14","protein_coding","protein_coding","2:172979849:172993576:1",0.280995672880181,0.38670856,0.217308808512012,0.48072484,3,26,3,3,7.86602,1.7315769,9.39394578750328e-15,2.29171909319127e-14
"KY.Chr1.645","KY.Chr1.645","Abt1-KY.Chr1.645","KH.C1.1169","Abt1-KY.Chr1.645","ABT1","ABT1","13:23418361:23423866:-1 ENSMUSG00000036376.3 ENSMUST00000041782.3 protein_coding protein_coding Abt1 activator of basal transcription 1 [Source:MGI Symbol;Acc:MGI:1353636]","Abt1","ENSMUSG00000036376.3","ENSMUST00000041782.3","protein_coding","protein_coding","13:23418361:23423866:-1",0.692770168314198,1.020127,0.549381364222337,1.2839862,3,8,3,3,14.970846,1.5733862,4.45925283723218e-45,2.96859869253853e-44
"KY.Chr1.646","KY.Chr1.646","Tnks-KY.Chr1.646","KH.C1.729","Tnks-KY.Chr1.646","TNKS","TNKS","8:34826460:34965690:-1 ENSMUSG00000031529.5 ENSMUST00000033929.5 protein_coding protein_coding Tnks tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase [Source:MGI Symbol;Acc:MGI:1341087]","Tnks","ENSMUSG00000031529.5","ENSMUST00000033929.5","protein_coding","protein_coding","8:34826460:34965690:-1",0.267371044981953,0.1891668,0.193191083076412,0.2893819,2,12,8,2,-1.7722237,-0.40813658,0.0767895316562406,0.0895384996847478
"KY.Chr1.647","KY.Chr1.647","KY2019:KY.Chr1.647","KH.C1.880","KY2019:KY.Chr1.647","TAF1C","TAF1C","nan","nan","nan","nan","nan","nan","nan",0.254312628593696,0.43320158,0.190562091534684,0.4071725,1,24,6,0,2.658844,0.5563962,0.00798687176951478,0.0101056611539674
"KY.Chr1.648","KY.Chr1.648","Cenpn-KY.Chr1.648","KH.C1.1144","Cenpn-KY.Chr1.648","CENPN","CENPN","8:116921740:116941503:1 ENSMUSG00000031756.5 ENSMUST00000034205.4 protein_coding protein_coding Cenpn centromere protein N [Source:MGI Symbol;Acc:MGI:1919405]","Cenpn","ENSMUSG00000031756.5","ENSMUST00000034205.4","protein_coding","protein_coding","8:116921740:116941503:1",0.43007535098829,0.61885625,0.316431575402903,0.9177477,1,9,5,6,11.423902,1.714453,1.8095264777615e-28,7.51670678643305e-28
"KY.Chr1.649","KY.Chr1.649","Atg13-KY.Chr1.649","KH.C1.1235","Atg13-KY.Chr1.649","ATG13","ATG13","2:91674618:91710576:-1 ENSMUSG00000027244.14 ENSMUST00000076803.11 protein_coding protein_coding Atg13 autophagy related 13 [Source:MGI Symbol;Acc:MGI:1196429]","Atg13","ENSMUSG00000027244.14","ENSMUST00000076803.11","protein_coding","protein_coding","2:91674618:91710576:-1",0.253724884118636,0.2954549,0.151210247787652,0.24373242,1,7,2,6,2.6908414,0.7772897,0.00725549622016649,0.00920876907310372
